5.095966975,	5.110421756,	5.110662668, 14, 4
2.561781550,	-2.556880012,	-7.662426595, 14, 4
-2.548435403,	2.547921285,	-7.660980695, 14, 4
-2.548517268,	-7.661188089,	2.548237320, 14, 4
2.561480798,	-7.662930120,	-2.556573595, 14, 4
-7.661757715,	-2.556887004,	2.550899366, 14, 4
-7.661800859,	2.550837472,	-2.556783971, 14, 4
-5.104609977,	-5.107641376,	-5.107588418, 14, 4
-5.109107739,	-0.003727437,	-0.003670430, 14, 4
0.007506511,	-0.004016403,	-5.108433154, 14, 4
0.007289070,	-5.108699749,	-0.003876346, 14, 4
2.552786823,	-2.551763090,	2.555108700, 14, 4
-2.549742124,	-2.555132203,	-2.555031526, 14, 4
-2.557272611,	2.550844003,	2.550856702, 14, 4
2.553045445,	2.554951477,	-2.551485107, 14, 4
5.115067415,	-5.101806837,	-5.101247112, 14, 4
5.107873457,	0.010732874,	0.011092937, 14, 4
7.659514493,	-2.543948361,	-2.543211214, 14, 4
7.662758958,	2.564104817,	2.564709245, 14, 4
-5.106083291,	5.100436463,	-5.111126259, 14, 4
-0.007367161,	5.108163278,	-0.004269859, 14, 1
2.545483555,	7.660427214,	2.551170425, 14, 1
-2.559582426,	7.661742159,	-2.559593744, 14, 1
5.105357160,	5.105881113,	-5.104158002, 14, 1
-5.106140807,	-5.111203908,	5.100630383, 14, 1
-0.007486845,	-0.004331762,	5.108230038, 14, 1
-2.559691420,	-2.559575298,	7.661878381, 14, 1
2.545243356,	2.551113134,	7.660596907, 14, 1
5.104615529,	-5.104900162,	5.106031851, 14, 1
-5.108074008,	5.105267065,	5.105552045, 14, 1
6.769465439,	6.793925957,	6.794209097, 1, 0   
0.885489557,	-4.240688516,	-9.341148629, 1, 0   
4.242848732,	-0.875479535,	-9.342532235, 1, 0  
-4.226975051,	0.865964927,	-9.341030695, 1, 0   
-0.868804078,	4.229793645,	-9.340239342, 1, 0   
-4.227110792,	-9.341340629,	0.866342825, 1, 0   
-0.868877163,	-9.340345114,	4.230112860, 1, 0   
0.885175222,	-9.341528857,	-4.240486783, 1, 0
4.242355916,	-9.343141905,	-0.875065075, 1, 0   
-9.341736062,	-4.237247547,	0.870604371, 1, 0   
-9.340715117,	-0.877412859,	4.233144632, 1, 0   
-9.340729325,	4.233115118,	-0.877348100, 1, 0   
-9.341825183,	0.870540653,	-4.237123282, 1, 0   
-4.544163069,	-7.907556755,	-4.545548031, 1, 0   
-4.543603393,	-4.546047738,	-7.907485104, 1, 0   
-7.903812256,	-4.544137174,	-4.544618565, 1, 0   
6.801917569,	-6.778683760,	-6.778048185, 1, 0   
9.339541786,	-0.862606172,	-4.222529697, 1, 0   
9.339195930,	-4.223355799,	-0.861664807, 1, 0   
9.341904011,	0.886343485,	4.248492155, 1, 0   
9.342248195,	4.247709920,	0.887038772, 1, 0   
-6.786179052,	6.777234509,	-6.794790004, 1, 0   
0.863324786,	9.340845708,	4.229192310, 1, 0   
4.228121831,	9.339353544,	0.872028304, 1, 0   
-4.242987453,	9.340705095,	-0.883240901, 1, 0   
-0.878466219,	9.341560062,	-4.241298856, 1, 0   
3.421743551,	6.763433722,	-6.815851891, 1, 0   
6.815633168,	3.421563736,	-6.761133612, 1, 0   
6.763449407,	6.816955661,	-3.421349188, 1, 0   
-6.786282791,	-6.794782007,	6.777470288, 1, 0   
-0.878596230,	-4.241172989,	9.341755628, 1, 0   
-4.243131002,	-0.883119336,	9.340785647, 1, 0   
4.227722897,	0.871960155,	9.339662235, 1, 0   
0.863004339,	4.229220911,	9.340850757, 1, 0   
6.815023588,	-6.762192176,	3.421384669, 1, 0   
3.420509076,	-6.816597302,	6.763498561, 1, 0   
6.762439984,	-3.422876045,	6.816962728, 1, 0   
-6.787094029,	3.423795512,	6.785779628, 1, 0   
-6.787156059,	6.785633607,	3.424261686, 1, 0   
-3.423418207,	6.783245113,	6.783672960, 1, 0   
