Iteration,orbitalEnergies,exchangePotential,correlationPotential,bandEnergy,exchangeEnergy,correlationEnergy,totalEnergy
1,[-4.21242789 -4.78910024],-0.299803971472,-0.0680680602297,-7.21395602101,-0.224852978604,-0.0568562970317,-7.51167946293
2,[-6.24829605 -6.86077896],-0.314070573277,-0.068969463015,-13.3573710596,-0.235552929958,-0.0576879927609,-13.6625119282
3,[-5.79082708 -4.52842724],-0.315995593801,-0.0685983822026,-10.1100814009,-0.23699669535,-0.0573525799034,-10.4102030347
4,[-2.52398115 -3.0309127 ],-0.274524163567,-0.0669249410791,-2.07887500163,-0.205893122675,-0.0557673376836,-2.36463517711
5,[-2.18462518 -2.09669635],-0.275451727877,-0.0667653992082,-0.465946713598,-0.206588795908,-0.0555950794363,-0.749500945186
6,[-2.12949357 -2.62718415],-0.277273313137,-0.0665652693856,-0.886171290229,-0.207954984853,-0.055416363229,-1.16642324588
7,[-1.57890695 -2.14846292],-0.197668054869,-0.0585457635921,0.693723187071,-0.148251041152,-0.0482313146394,0.449730303627
8,[-1.72943839 -2.44440473],-0.206945236001,-0.0588147247211,0.0967184838587,-0.155208927001,-0.0484745891907,-0.146751774153
1,[-4.21242789 -3.63959148],-0.310726661041,-0.0683752698325,-6.06444726613,-0.233044995781,-0.0571423191842,-6.36305446843
1,[-4.21242789 -3.        ],-0.231412223714,-0.0627914593676,-5.4248557835,-0.173559167786,-0.0519888317421,-5.67707683821
1,[-6. -6.],-0.205768566252,-0.0587997093077,-3.0,-0.154326424689,-0.0484557086162,-3.24420453366
2,[-6. -6.],-0.209839671122,-0.0588485343827,-3.0,-0.157379753341,-0.0485021202449,-3.24333613016
3,[-6. -6.],-0.212565318464,-0.0587849139429,-3.0,-0.159423988848,-0.0484510572307,-3.24246659179
4,[-6. -6.],-0.199790526208,-0.0586400522025,-3.0,-0.149842894656,-0.0483142557055,-3.24416632146
5,[-6. -6.],-0.204664865199,-0.0587062695007,-3.0,-0.153498648899,-0.0483779927509,-3.24349217711
6,[-6. -6.],-0.213467577339,-0.0588909107372,-3.0,-0.160100683005,-0.0485446820197,-3.24261955482
7,[-6. -6.],-0.206892494844,-0.0587401354364,-3.0,-0.155169371133,-0.0484091099212,-3.24279502429
8,[-6. -6.],-0.201890056932,-0.0587765909462,-3.0,-0.151417542699,-0.0484358393507,-3.24472050428
1,[-6.86169105 -5.5       ],-2.42806054308,-0.212791850479,-4.22338209697,-1.82104540731,-0.190065377626,-7.15312541284
1,[-3.8844068  -2.10544818],-1.99389492803,-0.18056791934,-3.87426177922,-1.49542119602,-0.159810667948,-7.34854068281
2,[-3.88076713 -2.21874385],-2.1823493755,-0.187862240032,-3.98027809797,-1.63676203163,-0.166702967413,-7.84530631527
3,[-3.7023812  -3.68068066],-3.09213529985,-0.230624971607,-5.08544306146,-2.31910147489,-0.20661150011,-11.3294698859
4,[-2.84664471 -2.84619852],-2.6782843963,-0.218729335766,-2.53948793817,-2.00871329723,-0.195404725424,-7.91254686336
5,[-3.12206487 -3.12204641],-2.88645360312,-0.224701561614,-3.36617614029,-2.16484020234,-0.201030124275,-9.17270708121
6,[-2.97872373 -2.97872303],-2.78235791023,-0.221752896069,-2.93617050146,-2.08676843267,-0.1982521921,-8.52571815026
7,[-3.04850904 -3.04850896],-2.83184471854,-0.223161962326,-3.14552703065,-2.12388353891,-0.19957955179,-8.83817266242
8,[-2.97734685 -2.97734679],-2.83252693317,-0.223165286498,-2.93204049172,-2.12439519988,-0.199582930967,-8.62542607419
9,[-3.0160136  -3.01601359],-2.81102676766,-0.222574918501,-3.0480407984,-2.10827007574,-0.199026495118,-8.69734871195
10,[-3.04486921 -3.0448692 ],-2.81107293065,-0.222581175959,-3.13460761758,-2.10830469799,-0.19903229911,-8.78424735456
11,[-3.02930643 -3.02930643],-2.81912314213,-0.222802023465,-3.08791928354,-2.1143423566,-0.199240453571,-8.75405295103
12,[-3.01721349 -3.01721348],-2.81957464955,-0.222811947519,-3.05164045724,-2.11468098717,-0.199249846618,-8.71859095231
13,[-3.02239774 -3.02239774],-2.81714591664,-0.222746321911,-3.0671932101,-2.11285943748,-0.199187986592,-8.72918731559
14,[-3.02741398 -3.02741398],-2.81649796182,-0.222729767445,-3.08224192894,-2.11237347137,-0.199172367687,-8.74295631009
1,[-3.88394661 -2.10533287],-1.99410737279,-0.180569993453,-3.87322608698,-1.49558052959,-0.159812853966,-7.3484525022
1,[-3.87932099 -2.1062871 ],-1.98903635485,-0.180448633673,-3.86492908273,-1.49177726614,-0.159695821736,-7.33261599994
2,[-3.88408993 -2.10733697],-1.98972951717,-0.180474492962,-3.87551683032,-1.49229713788,-0.159720315823,-7.34464130374
3,[-3.88116889 -2.10580671],-1.99051128048,-0.180492728077,-3.86814448588,-1.49288346036,-0.15973770191,-7.33842254309
4,[-3.8821902  -2.10724457],-1.99037833797,-0.180482763653,-3.87162496978,-1.49278375348,-0.159728558062,-7.34146885956
5,[-3.88287886 -2.10583768],-1.99117803092,-0.180510156853,-3.87159539496,-1.49338352319,-0.159754526014,-7.34297469012
6,[-3.88099683 -2.1067831 ],-1.99094037825,-0.180490934809,-3.86877676126,-1.49320528368,-0.159736745272,-7.33927786563
7,[-3.88337937 -2.10583878],-1.9916869874,-0.180518810664,-3.87259752855,-1.49376524055,-0.159763213363,-7.3446187777
8,[-3.88051261 -2.1061233 ],-1.99171134576,-0.18050648067,-3.86714851331,-1.49378350932,-0.159752016912,-7.33868155868
9,[-3.88284453 -2.10551001],-1.99250058108,-0.180533093073,-3.87119907615,-1.49437543581,-0.159777446462,-7.34420086651
10,[-3.88015054 -2.10523274],-1.99303268544,-0.180537087767,-3.86553381386,-1.49477451408,-0.159781801058,-7.33893233332
11,[-3.88144188 -2.10462889],-1.99419292456,-0.180570511986,-3.86751265256,-1.49564469342,-0.15981394559,-7.34279923895
12,[-3.87906602 -2.10394909],-1.9956000507,-0.18060191087,-3.86208112468,-1.49670003803,-0.15984447498,-7.33925705524
13,[-3.87881225 -2.10310147],-1.99785162416,-0.180665323427,-3.86072597407,-1.49838871812,-0.159905403549,-7.34147164835
14,[-3.87590273 -2.10230708],-2.00106333241,-0.180754579256,-3.85411255171,-1.50079749931,-0.159991131192,-7.33988576208
15,[-3.87325271 -2.10155515],-2.00609444869,-0.180909409058,-3.84806056218,-1.50457083652,-0.160139120344,-7.34234451066
1,[-3.87862208 -2.10609445],-1.98881278064,-0.180447701365,-3.8633386044,-1.49160958548,-0.15969469613,-7.33250596154
2,[-3.88188866 -2.10679861],-1.98918513467,-0.180461352259,-3.8705759264,-1.491888851,-0.159707753039,-7.3405572755
3,[-3.87990922 -2.10580677],-1.98962485054,-0.180469520628,-3.86562520537,-1.49221863791,-0.159715697298,-7.33621716026
4,[-3.88064498 -2.10678551],-1.98948764281,-0.180460176211,-3.86807547503,-1.49211573211,-0.159707158224,-7.33828495111
5,[-3.88107411 -2.10582681],-1.98998398139,-0.180476010199,-3.86797503068,-1.49248798605,-0.159722277514,-7.33912974678
6,[-3.87985077 -2.10652456],-1.98977597783,-0.180460318886,-3.86622610171,-1.49233198337,-0.159707805197,-7.33669027106
7,[-3.88148616 -2.10583728],-1.99026291424,-0.180477703084,-3.86880960009,-1.49269718568,-0.159724396965,-7.34026693048
8,[-3.87952467 -2.10612377],-1.99021190601,-0.180465860489,-3.86517310579,-1.49265892951,-0.159713598958,-7.3361570628
9,[-3.88123724 -2.10563917],-1.99072929741,-0.180482873386,-3.86811364628,-1.49304697306,-0.159729922488,-7.34007349937
10,[-3.87931607 -2.10555805],-1.99098365848,-0.180480657252,-3.8641901847,-1.49323774386,-0.159728291269,-7.33619685883
11,[-3.88044955 -2.10506214],-1.99171335155,-0.180501239384,-3.86596123487,-1.49378501367,-0.159748152391,-7.3391658336
12,[-3.8787267 -2.1046806],-1.99247391994,-0.180514318667,-3.86213400277,-1.49435543995,-0.159761146835,-7.33622192075
13,[-3.87897881 -2.10394327],-1.99380808344,-0.18055018815,-3.86190089052,-1.49535606258,-0.159795744325,-7.33805779945
14,[-3.8770331  -2.10331474],-1.99554744983,-0.180592416859,-3.85738094019,-1.49666058737,-0.159836632019,-7.33602593696
1,[-1.88045062 -0.04209043],-1.9907879374,-0.180515229511,-3.80299167465,-1.49309095305,-0.159757746707,-7.27328557092
1,[-1.88395499 -0.10606123],-1.98865025187,-0.180453340828,-3.87397120717,-1.4914876889,-0.15969989255,-7.34093190541
1,[-1.87502343 -0.1048349 ],-1.99320427754,-0.18065507802,-3.85488175482,-1.49490320816,-0.159887923311,-7.33178332691
2,[-1.8607761 -0.1039314],-1.99026160019,-0.180529507276,-3.8254836023,-1.49269620014,-0.159771143975,-7.29617905032
3,[-1.87045619 -0.10515578],-1.98162890809,-0.180206964304,-3.84606815823,-1.48622168107,-0.159469624905,-7.30004680211
4,[-1.87817734 -0.10572956],-1.98316328374,-0.18028635584,-3.86208424057,-1.4873724628,-0.159543251172,-7.31974516649
5,[-1.86674422 -0.10434723],-1.99007276742,-0.180557116025,-3.8378356687,-1.49255457556,-0.159796861105,-7.30949364641
6,[-1.86179817 -1.55933571],-3.00087800806,-0.228261793631,-5.28293205537,-2.25065850605,-0.204381559389,-11.3408781829
