Iteration,orbitalEnergies,exchangePotential,correlationPotential,exchangeEnergy,correlationEnergy,totalEnergy
1,[-0.56886318 -0.5       ],-0.315146504425,-0.0884009677579,-0.236359878319,-0.0732487272202,-2.62415485125
2,[-5.62103866 -0.5       ],-1.65907464853,-0.166901793479,-1.2443059864,-0.146078513798,-14.7433224233
3,[-5.44636464 -0.5       ],-2.36694108908,-0.191902549862,-1.77520581681,-0.169461204254,-15.6288795977
4,[-4.88889686 -0.5       ],-2.60119065948,-0.196519735009,-1.95089299461,-0.173840358315,-14.8562451322
5,[-4.71771712 -0.5       ],-2.72625354034,-0.206537428662,-2.04469015526,-0.182747335875,-14.9721197714
6,[-4.50453364 -0.38139144],-3.21752010236,-0.256678554725,-2.41314007677,-0.227775989547,-16.5194231523
7,[-3.64146787 -0.15417233],-3.31059795033,-0.261969477186,-2.48294846275,-0.232601995776,-14.5829950175
8,[-3.57771252 -0.14566453],-3.12444755578,-0.254107709246,-2.34333566684,-0.225248965395,-13.9301881543
9,[-3.78511422 -0.17486392],-3.006917423,-0.249426072933,-2.25518806725,-0.22087208769,-14.1037507838
10,[-3.90905043 -0.21942869],-2.99725934103,-0.249246335852,-2.24794450577,-0.220689489132,-14.4130902174
11,[-3.92229539 -0.22215161],-3.03506087049,-0.251363427149,-2.27629565287,-0.222646461663,-14.5532823663
12,[-3.8797765  -0.21089125],-3.0609710174,-0.252565153876,-2.29572826305,-0.223764867038,-14.5150870579
13,[-3.8515922  -0.20432959],-3.0640843177,-0.252649701556,-2.29806323827,-0.223846367401,-14.453735442
14,[-3.84808539 -0.20388039],-3.05799226002,-0.252355371353,-2.29349419502,-0.223573596337,-14.430150527
15,[-3.85439282 -0.20541875],-3.05362392588,-0.252172755291,-2.29021794441,-0.223403306505,-14.434874283
16,[-3.85892204 -0.20635584],-3.05291097302,-0.252155653903,-2.28968322976,-0.223386829929,-14.4441554435
17,[-3.85965955 -0.20643691],-3.05372853462,-0.252196367166,-2.29029640097,-0.223424506439,-14.4478972681
18,[-3.85881774 -0.20622613],-3.05437391332,-0.252223211739,-2.29078043499,-0.223449530559,-14.4473945999
19,[-3.85815472 -0.20608979],-3.05450499067,-0.252226809224,-2.290878743,-0.223452960048,-14.44610074
20,[-3.85802063 -0.20607268],-3.05440133675,-0.25222149644,-2.29080100256,-0.223448048986,-14.4455303555
21,[-3.85812718 -0.20610025],-3.05430913586,-0.252217626728,-2.29073185189,-0.223444443592,-14.4455698317
22,[-3.85822167 -0.20611987],-3.05428685348,-0.25221695468,-2.29071514011,-0.223443806879,-14.4457457937
23,[-3.8582444  -0.20612311],-3.05429962586,-0.252217634222,-2.2907247194,-0.223444434238,-14.4458310403
24,[-3.85823125 -0.20611957],-3.05431260919,-0.252218185984,-2.2907344569,-0.223444948027,-14.4458299465
25,[-3.85821795 -0.20611677],-3.05431623507,-0.252218303055,-2.29073717631,-0.223445058506,-14.4458063231
26,[-3.85821425 -0.2061162 ],-3.0543147046,-0.252218217837,-2.29073602845,-0.223444979952,-14.4457937477
27,[-3.85821583 -0.20611664],-3.05431289174,-0.252218139808,-2.29073466881,-0.223444907332,-14.445793276
28,[-3.85821768 -0.20611704],-3.05431231739,-0.252218120313,-2.29073423804,-0.223444888985,-14.4457964144
29,[-3.85821827 -0.20611714],-3.05431249396,-0.25221813076,-2.29073437047,-0.223444898596,-14.4457982513
30,[-3.85821809 -0.20611708],-3.05431274519,-0.252218141714,-2.29073455889,-0.223444908785,-14.4457984045
31,[-3.85821783 -0.20611703],-3.05431283437,-0.25221814486,-2.29073462577,-0.22344491174,-14.4457979921
32,[-3.85821774 -0.20611701],-3.05431281511,-0.252218143616,-2.29073461134,-0.223444910599,-14.4457977261
33,[-3.85821776 -0.20611702],-3.05431278055,-0.252218142089,-2.29073458542,-0.223444909179,-14.4457976925
