Iteration,orbitalEnergies,exchangePotential,correlationPotential,bandEnergy,exchangeEnergy,correlationEnergy,totalEnergy
1,"[-20.39397017 -11.87654979  -2.85382079  -2.48975861  -2.22005946
  -2.22005946  -2.2160913   -2.17879191  -2.14658322  -2.14658322]",-16.4103082179,-1.06452577413,-60.5406191216,-12.3077311634,-0.954523143339,-111.707754762
1,"[-23.43653474 -14.92306682  -5.80136163  -5.54777275  -5.26004889
  -5.26004889  -5.18755896  -5.17163375  -5.17163375  -5.07163375]",-16.3563308742,-1.06100728153,-60.8327853382,-12.2672481556,-0.951208765026,-111.411325148
2,"[-26.29399483 -13.62138877  -6.50673844  -6.50673737  -6.40287708
  -6.16913459  -5.88324318  -5.34205841  -5.24205841  -5.14205841]",-15.327502174,-1.02726240129,-72.7682285052,-11.4956266305,-0.919630360083,-117.06312551
1,"[-23.8820809  -15.00701104  -5.83041969  -5.63155152  -5.38635251
  -5.38635251  -5.35542617  -5.25299935  -5.25299935  -5.15299935]",-15.8113009057,-1.04276027485,-62.9583886853,-11.8584756793,-0.934072587993,-111.185880375
2,"[-23.88185613 -15.00700778  -5.95069274  -5.59935673  -5.41368906
  -5.41368003  -5.4126881   -5.22839146  -5.22839133  -5.17469211]",-15.8116844511,-1.04277551372,-63.3579411461,-11.8587633384,-0.934086890436,-111.587537411
1,"[-23.91280657 -15.01717136  -5.83025223  -5.62968515  -5.3859557
  -5.3859557   -5.35524617  -5.25166488  -5.25166488  -5.15166488]",-15.810975161,-1.0427495439,-63.034145743,-11.8582313708,-0.934062357726,-111.270386614
2,"[-23.91230764 -15.01710283  -5.93642639  -5.4171086   -5.39365784
  -5.39365086  -5.2672822   -5.08470967  -5.08470932  -5.07917125]",-15.811440688,-1.04276606008,-62.6750727247,-11.858580516,-0.934077870138,-110.913678378
1,"[-23.8820809  -15.00701104  -5.83041969  -5.63155152  -5.38635251
  -5.38635251  -5.35542617  -5.25299935  -5.25299935  -4.99092066]",-15.8113009057,-1.04276027485,-62.9583886853,-11.8584756793,-0.934072587993,-111.185880375
2,"[-23.88185613 -15.00700781  -5.95069275  -5.59935674  -5.41369401
  -5.41369401  -5.4126881   -5.22839126  -5.22839126  -4.88687315]",-15.8116844183,-1.04277551335,-63.3579791013,-11.8587633137,-0.934086890082,-111.587575295
3,"[-400.16017228  -23.88634527  -15.00449599   -6.04261614   -5.54341775
   -5.46247105   -4.73172927   -4.73172927   -1.57450959   -1.57450959]",-15.8101713888,-1.04271914205,-60.8056094632,-11.8576285416,-0.934034336169,-109.021193542
1,"[-23.92094029 -15.02128556  -5.83144669  -5.6320729   -5.38610373
  -5.38610373  -5.35647315  -5.25286522  -5.25286522  -4.99062417]",-15.8118157981,-1.04276496959,-63.0688521264,-11.8588618486,-0.934077171735,-111.281712616
2,"[-23.92057542 -15.02125388  -5.95207987  -5.60000436  -5.41345189
  -5.41345189  -5.41323425  -5.22825495  -5.22825495  -4.89177453]",-15.8122146384,-1.04278044556,-63.4681031061,-11.8591609788,-0.934091704429,-111.683103158
3,"[-298.11688846  -23.92503845  -15.01871035   -6.04416619   -5.54402446
   -5.46284448   -4.73192969   -4.73192969   -1.57922021   -1.57922021]",-15.8107332479,-1.04272452409,-60.9172866331,-11.858049936,-0.934039557918,-109.118414049
1,"[-26.91900457 -18.01984727  -8.78595895  -8.62182507  -8.37490692
  -8.37490692  -8.36019873  -8.25977501  -8.25977501  -8.02502982]",-15.8117727354,-1.04276247665,-62.9132968713,-11.8588295516,-0.934074825308,-111.125715523
2,"[-26.91902917 -18.01981503  -8.87870018  -8.62709346  -8.39440543
  -8.39440543  -8.38754408  -8.24270522  -8.24270522  -7.93892359]",-15.8121300276,-1.04277570491,-63.2419855648,-11.8590975207,-0.934087249835,-111.456144804
3,"[-641.40763071  -26.92364745  -18.0173357    -8.95878835   -8.5954242
   -8.41431202   -7.99721417   -7.99721417   -2.83291073   -2.83291073]",-15.8104836045,-1.04271600043,-61.8078720913,-11.8578627034,-0.934031536984,-110.007442207
1,"[-26.91900457 -18.01984727  -8.78595895  -8.62182507  -8.37490692
  -8.37490692  -8.36019873  -8.25977501  -8.25977501  -8.02502982]",-15.8117727354,-1.04276247665,-62.9132968713,-11.8588295516,-0.934074825308,-111.125715523
2,"[-26.91902917 -18.01981503  -8.87870018  -8.62709346  -8.39440543
  -8.39440543  -8.38754408  -8.24270522  -8.24270522  -7.93892359]",-15.8121300276,-1.04277570491,-63.2419855648,-11.8590975207,-0.934087249835,-111.456144804
1,"[-20.92266105 -12.02267292  -2.93635315  -2.60464097  -2.41031632
  -2.41031632  -2.3738651   -2.23115605  -2.23115605  -1.90003246]",-15.8119004776,-1.04277090294,-63.3616516757,-11.8589253582,-0.934082761503,-111.575470878
1,"[-20.92266105 -12.02267292  -2.93635315  -2.60464097  -2.41031632
  -2.41031632  -2.3738651   -2.23115605  -2.23115605  -1.90003246]",-15.8119004776,-1.04277090294,-63.3616516757,-11.8589253582,-0.934082761503,-111.575470878
2,"[-20.92211548 -12.0226634   -3.08528039  -2.51151183  -2.47372801
  -2.45135998  -2.45135998  -2.19322296  -2.19322296  -1.81891556]",-15.8123299768,-1.04278829475,-63.836038141,-11.8592474826,-0.934099074017,-112.052381609
3,"[-20.92182192 -12.02277547  -3.15366121  -2.53931405  -2.4709627
  -2.4709627   -2.45041983  -2.16185369  -2.16185369  -1.67091353]",-15.8124878223,-1.04279469259,-64.059835726,-11.8593658667,-0.934105041079,-112.277409399
4,"[ -3.48267976e+01  -2.09239005e+01  -1.20202771e+01  -3.18003632e+00
  -2.54865122e+00  -2.41129882e+00  -1.79060550e-02  -1.79060550e-02
  -2.00000000e+00  -2.00000000e+00]",-15.8130441851,-1.04276632312,-54.2399521904,-11.8597831388,-0.934079221175,-102.4511758
1,"[-20.91383997 -12.0176496   -2.93614668  -2.60471366  -2.41022706
  -2.41022706  -2.37387745  -2.23111447  -2.23111447  -1.90027868]",-15.8116987726,-1.04277041881,-63.333362987,-11.8587740794,-0.934082077145,-111.55232668
2,"[-20.91340993 -12.01766181  -3.08498052  -2.51151793  -2.47390195
  -2.45131982  -2.45131982  -2.19317705  -2.19317705  -1.81922227]",-15.812107233,-1.0427874647,-63.8082235784,-11.8590804248,-0.934098055654,-112.029654503
3,"[-20.91312133 -12.01778087  -3.15340234  -2.53956461  -2.47713554
  -2.47713554  -2.45042599  -2.1670355   -2.1670355   -1.74700752]",-15.8122544887,-1.04279366977,-64.0571324503,-11.8591908665,-0.934103840526,-112.279768085
4,"[-114.60363421  -20.91233217  -12.01582191   -3.17896471   -2.57481812
   -2.42137399   -0.92928464   -0.92928464   -0.61011426   -0.61011426]",-15.8147197829,-1.04282281852,-57.9237603332,-11.8610398372,-0.9341320293,-106.151348933
5,"[-169.35209987  -76.16484584  -34.67818555  -16.46874893  -11.62397889
   -2.3920669    -2.36617863   -1.93819732   -1.93799083   -0.39191462]",-15.8113496486,-1.04272971972,-46.2381522487,-11.8585122364,-0.93404467643,-94.4491397718
1,"[-19.91438962 -11.01803342  -2.00644505  -1.55867172  -1.42722806
  -1.42722806  -1.39814357  -1.21202771  -1.21202771  -0.83173636]",-15.8117202417,-1.04277353153,-63.5002789853,-11.8587901812,-0.934085008741,-111.719684379
2,"[-19.91395205 -11.01808121  -2.14040309  -1.52077147  -1.47178965
  -1.47178965  -1.4448988   -1.17111137  -1.17111137  -0.8150685 ]",-15.812093657,-1.04278861458,-63.9633718273,-11.8590702427,-0.934099125176,-112.185061903
3,"[-19.913692   -11.01821237  -2.17952099  -1.57592046  -1.49645785
  -1.49645785  -1.40937284  -1.1513624   -1.1513624   -0.8769622 ]",-15.8121970015,-1.04279206437,-64.1792687421,-11.8591477511,-0.934102314658,-112.401870583
4,"[-19.91360196 -11.01826188  -2.188943    -1.59678489  -1.50920076
  -1.50920076  -1.40205673  -1.14165881  -1.14165881  -0.87063648]",-15.8121939365,-1.042791334,-64.276099964,-11.8591454524,-0.934101602869,-112.498937907
1,[ nan  nan  nan  nan  nan  nan  nan  nan  nan  nan],nan,nan,nan,nan,nan,nan
