Iteration,orbitalEnergies,exchangePotential,correlationPotential,bandEnergy,exchangeEnergy,correlationEnergy,totalEnergy
1,"[-18.92794192 -10.02150294  -1.14762478  -0.47352006  -0.47350824
  -0.44775514  -0.356087    -0.356087    -0.15383316  -0.        ]",-15.8111121359,-1.04275391051,-63.6958801482,-11.8583341019,-0.934066748018,-111.911675427
2,"[-18.92782018 -10.02099165  -1.18903043  -0.50886232  -0.50883832
  -0.47919758  -0.356087    -0.356087    -0.11644919  -0.06651413]",-15.811559124,-1.0427700541,-63.9816549712,-11.858669343,-0.934081915333,-112.199927002
3,"[-18.92759415 -10.0207157   -1.1921915   -0.51965226  -0.51910141
  -0.51906894  -0.356087    -0.356087    -0.14666568  -0.10541181]",-15.8118800642,-1.04278186425,-64.1088218843,-11.8589100481,-0.934093009239,-112.329237717
1,"[-19.9240423  -11.02276986  -2.06817379  -1.51680724  -1.44538698
  -1.44537705  -1.3565393   -1.3565393   -1.19482422  -1.07139289]",-15.8113140988,-1.04274999511,-63.5581930314,-11.8584855741,-0.934063196498,-111.76909955
2,"[-19.92399052 -11.02245108  -2.17249185  -1.49050758  -1.49048821
  -1.45945198  -1.3565393   -1.3565393   -1.15442973  -1.10138354]",-15.8116157785,-1.04275970229,-63.8318410231,-11.8587118339,-0.934072341925,-112.043991745
3,"[-19.92397487 -11.02234062  -2.18962557  -1.5099018   -1.50987476
  -1.47551365  -1.3565393   -1.3565393   -1.13967443  -1.13497622]",-15.8117203958,-1.042762473,-63.9755411302,-11.8587902969,-0.934074956879,-112.188122077
4,"[-19.92392527 -11.02237329  -2.192048    -1.51408542  -1.51405311
  -1.50166922  -1.3565393   -1.3565393   -1.09260735  -0.3110799 ]",-15.811740779,-1.04276085948,-64.0493872269,-11.8588055843,-0.934073468219,-112.261967545
5,"[-19.92370434 -11.02175951  -2.19256077  -1.52491896  -1.3565393
  -1.3565393   -1.19940811  -1.19931808  -1.          -1.        ]",-15.8125636574,-1.04276443741,-63.1507769251,-11.8594227431,-0.934077135764,-111.364127426
6,"[-19.92287688 -11.02109575  -2.19252822  -1.57361252  -1.3565393
  -1.3565393   -1.29186683  -0.04264436  -1.          -1.        ]",-15.8140419663,-1.04278448731,-63.4301175923,-11.8605314747,-0.93409632176,-111.647034649
1,"[-19.92404333 -11.02276787  -2.06817337  -1.51680673  -1.4453875
  -1.44537756  -1.3565393   -1.3565393   -1.19482352  -1.06915145]",-15.8113143651,-1.04275000976,-63.5581913036,-11.8584857738,-0.934063209908,-111.769099479
2,"[-19.92399318 -11.02244633  -2.17249146  -1.49050895  -1.49048958
  -1.45945071  -1.3565393   -1.3565393   -1.15442825  -1.10366772]",-15.8116163648,-1.04275972406,-63.8318389999,-11.8587122736,-0.934072360649,-112.043990784
3,"[-19.9239652  -11.02231411  -2.18961496  -1.5098955   -1.50986846
  -1.47550651  -1.3565393   -1.3565393   -1.14102721  -1.13966552]",-15.8117429189,-1.0427633889,-63.9754080781,-11.8588071892,-0.934075813385,-112.188131038
4,"[-19.92385627 -11.02226149  -2.19199398  -1.51404399  -1.51401156
  -1.50163433  -1.3565393   -1.3565393   -1.09249151  -1.        ]",-15.8118610036,-1.04276587534,-64.0486818125,-11.8588957527,-0.934078173674,-112.262025026
5,"[-19.92363855 -11.02166361  -2.19249951  -1.52486779  -1.3565393
  -1.3565393   -1.19933093  -1.1992408   -1.          -1.        ]",-15.8126586183,-1.04277101017,-63.1500742282,-11.8594939637,-0.934083286707,-111.364276115
6,"[-19.92283241 -11.02104926  -2.19248174  -1.58157578  -1.3565393
  -1.3565393   -1.29177821  -1.          -1.          -1.        ]",-15.8140807366,-1.04278948519,-63.4455919672,-11.8605605525,-0.934100986942,-111.663115777
1,"[-19.87395071 -11.0040339   -2.06486504  -1.51545123  -1.44464356
  -1.4446342   -1.35453859  -1.35453859  -1.19506785  -1.0423229 ]",-15.810794437,-1.04274650445,-63.4042344643,-11.8580958277,-0.934059807827,-111.650332872
1,"[-19.8845118  -11.00788612  -2.06609286  -1.51589208  -1.44515343
  -1.44514409  -1.35563198  -1.35563198  -1.19521406  -1.04258214]",-15.8108404416,-1.04274614221,-63.440624725,-11.8581303312,-0.934059443275,-111.667978527
2,"[-19.88447175 -11.00749112  -2.17030739  -1.49026318  -1.49024436
  -1.45836432  -1.35563198  -1.35563198  -1.1505294   -1.07342355]",-15.8112038513,-1.04275914248,-63.7135482115,-11.8584028884,-0.934071685574,-111.942664209
3,"[-19.88440369 -11.00724118  -2.18742153  -1.50966539  -1.50963829
  -1.47417708  -1.35563198  -1.35563198  -1.13092449  -1.11390242]",-15.8114239356,-1.04276726765,-63.8563582636,-11.8585679517,-0.934079326598,-112.08672551
4,"[-19.88433175 -11.00707718  -2.18977817  -1.51764192  -1.51760902
  -1.50016016  -1.35563198  -1.35563198  -1.1476338   -1.12267419]",-15.8115571966,-1.04277262127,-63.9444603655,-11.8586678975,-0.934084357975,-112.175827992
5,"[-19.88421462 -11.00700061  -2.19004842  -1.52664995  -1.52091091
  -1.52087429  -1.35563198  -1.35563198  -1.17069022  -1.11914485]",-15.811651912,-1.04277679432,-64.0106615469,-11.858738934,-0.934088272067,-112.242979768
6,"[-19.8840373  -11.0070024   -2.19001505  -1.55088089  -1.52224048
  -1.52220158  -1.35563198  -1.35563198  -1.18449373  -1.11756584]",-15.8117378489,-1.04278070354,-64.0640193725,-11.8588033867,-0.934091930546,-112.297322141
7,"[-19.88381497 -11.00705976  -2.18993097  -1.57085289  -1.52275856
  -1.52271833  -1.35563198  -1.35563198  -1.19174074  -1.1168131 ]",-15.8118280418,-1.0427847085,-64.1055349169,-11.8588710313,-0.934095669051,-112.339841815
8,"[-19.88357733 -11.00714577  -2.18984121  -1.58568449  -1.52293597
  -1.52289501  -1.35563198  -1.35563198  -1.19459836  -1.11642651]",-15.8119225858,-1.04278876232,-64.1354235245,-11.8589419394,-0.934099447491,-112.370690378
9,"[-19.88335282 -11.00723807  -2.18975954  -1.59571801  -1.52297452
  -1.52293319  -1.35563198  -1.35563198  -1.19423552  -1.11621235]",-15.8120146612,-1.04279258624,-64.1552162657,-11.8590109959,-0.934103010723,-112.391333446
10,"[-19.88316006 -11.00732258  -2.18969176  -1.60200725  -1.52296175
  -1.52292027  -1.35563198  -1.35563198  -1.1911014   -1.11608552]",-15.8120965967,-1.04279592051,-64.1673913101,-11.8590724475,-0.934106117874,-112.404208832
11,"[-19.88300671 -11.00739294  -2.18963955  -1.60572615  -1.52293499
  -1.5228935   -1.35563198  -1.35563198  -1.18535716  -1.11600651]",-15.8121634226,-1.04279861213,-64.1744516458,-11.859122567,-0.934108624927,-112.411808732
12,"[-19.88289237 -11.00744804  -2.18960205  -1.60783347  -1.52290919
  -1.52286773  -1.35563198  -1.35563198  -1.17714095  -1.11595564]",-15.8122135769,-1.04280063606,-64.1783696487,-11.8591601827,-0.934110509276,-112.416116293
13,"[-19.88281228 -11.00748951  -2.1895772   -1.60899199  -1.52288934
  -1.52284793  -1.35563198  -1.35563198  -1.16664927  -1.11592238]",-15.8122480115,-1.04280205075,-64.180480464,-11.8591860086,-0.934111825962,-112.418488426
14,"[-19.88276015 -11.00751997  -2.18956258  -1.60961571  -1.52287629
  -1.52283494  -1.35563198  -1.35563198  -1.15412601  -1.11590063]",-15.8122689641,-1.04280295047,-64.1816032483,-11.8592017231,-0.934112662123,-112.419768953
15,"[-19.8827298  -11.00754211  -2.18955591  -1.60994712  -1.52286931
  -1.52282802  -1.35563198  -1.35563198  -1.13982967  -1.11588666]",-15.8122790248,-1.04280344118,-64.1822084847,-11.8592092686,-0.934113116707,-112.420451314
16,"[-19.88271589 -11.00755823  -2.18955525  -1.6101224   -1.52286725
  -1.522826    -1.35563198  -1.35563198  -1.12400784  -1.11587804]",-15.8122806124,-1.04280361545,-64.1825540102,-11.8592104593,-0.934113275804,-112.420812664
17,"[-19.88271415 -11.00757018  -2.18955908  -1.61021587  -1.52286897
  -1.52282776  -1.35563198  -1.35563198  -1.11587317  -1.10688391]",-15.8122757607,-1.04280355121,-64.1827759891,-11.8592068205,-0.93411321231,-112.421004514
18,"[-19.88272126 -11.00757934  -2.18956621  -1.61026727  -1.52287353
  -1.52283234  -1.35563198  -1.35563198  -1.11587096  -1.08865306]",-15.8122660825,-1.04280330738,-64.1829438766,-11.8591995618,-0.934112980914,-112.421108102
19,"[-19.88273474 -11.00758676  -2.18957575  -1.61029746  -1.52288016
  -1.52283899  -1.35563198  -1.35563198  -1.11587064  -1.06948323]",-15.8122528148,-1.04280293018,-64.1830917028,-11.8591896111,-0.934112624968,-112.421166333
20,"[-19.88275274 -11.00759318  -2.18958702  -1.61031725  -1.52288829
  -1.52284713  -1.35563198  -1.35563198  -1.1158717   -1.04951747]",-15.812236891,-1.04280245353,-64.1832351909,-11.8591776682,-0.934112176167,-112.421201559
21,"[-19.88277386 -11.00759912  -2.18959953  -1.6103321   -1.52289749
  -1.52285634  -1.35563198  -1.35563198  -1.11587377  -1.02885178]",-15.8122190184,-1.04280190259,-64.1833808482,-11.8591642638,-0.934111657876,-112.421225256
22,"[-19.88279698 -11.007605    -2.1896129   -1.61034469  -1.52290741
  -1.52286626  -1.35563198  -1.35563198  -1.1158766   -1.00700271]",-15.8121998383,-1.0428012984,-64.1835304544,-11.8591498787,-0.934111090165,-112.421243165
23,"[-19.88281991 -11.00761149  -2.18962688  -1.61035609  -1.52291771
  -1.52287656  -1.35563198  -1.35563198  -1.11588021  -1.        ]",-15.8121811071,-1.04280066138,-64.1836812548,-11.8591358304,-0.934110492529,-112.421257545
24,"[-19.88283052 -11.00762433  -2.1896434   -1.61036562  -1.52292845
  -1.52288731  -1.35563198  -1.35563198  -1.11588718  -1.        ]",-15.812174263,-1.04279998294,-64.1838232176,-11.8591306972,-0.934109863001,-112.421264672
25,"[-19.88282752 -11.00766607  -2.18967464  -1.61037845  -1.52294666
  -1.52290554  -1.35563198  -1.35563198  -1.11590652  -1.        ]",-15.8121752996,-1.04279858485,-64.18406173,-11.8591314747,-0.934108572245,-112.421259458
26,"[-19.88266247 -11.00770808  -2.18965612  -1.61033839  -1.52292078
  -1.52287978  -1.35563198  -1.35563198  -1.11591906  -1.        ]",-15.8123206307,-1.0428001248,-64.1835952382,-11.859240473,-0.934110066053,-112.42117608
27,"[-19.8824912  -11.00774981  -2.18962967  -1.61029337  -1.5228896
  -1.52284871  -1.35563198  -1.35563198  -1.11592791  -1.        ]",-15.8124696366,-1.04280200696,-64.1830686953,-11.8593522275,-0.934111876622,-112.421084901
28,"[-19.88241303 -11.00779512  -2.18962374  -1.61027463  -1.52287883
  -1.52283793  -1.35563198  -1.35563198  -1.11593661  -1.        ]",-15.812526347,-1.0428022945,-64.1829105527,-11.8593947603,-0.934112166528,-112.421030863
29,"[-19.8823919  -11.007838    -2.18962847  -1.61027127  -1.52287945
  -1.52283847  -1.35563198  -1.35563198  -1.11593611  -1.        ]",-15.8125266579,-1.04280168815,-64.1829590836,-11.8593949934,-0.934111601582,-112.421001548
30,"[-19.88211532 -11.0078328   -2.18955104  -1.61018488  -1.52280885
  -1.52276814  -1.35563198  -1.35563198  -1.11592372  -1.        ]",-15.8127953294,-1.04280714922,-64.1817860441,-11.859596497,-0.934116787066,-112.420872848
31,"[-19.88229503 -11.00788906  -2.18960913  -1.6102425   -1.52285892
  -1.52281791  -1.35563198  -1.35563198  -1.11588581  -1.        ]",-15.812591406,-1.04280245816,-64.1826890825,-11.8594435545,-0.934112340698,-112.420930025
32,"[-19.88216147 -11.00788479  -2.18957036  -1.61020017  -1.52282405
  -1.52278316  -1.35563198  -1.35563198  -1.11576415  -1.        ]",-15.8127217066,-1.04280518304,-64.182111996,-11.85954128,-0.934114927234,-112.42086765
33,"[-19.88228889 -11.00792178  -2.18960987  -1.61024034  -1.52285853
  -1.52281742  -1.35563198  -1.35563198  -1.11566878  -1.        ]",-15.8125772732,-1.04280193926,-64.1827376253,-11.8594329549,-0.934111851,-112.420908845
34,"[-19.88211701 -11.00789954  -2.18955805  -1.61018566  -1.52281264
  -1.52277174  -1.35563198  -1.35563198  -1.1153973   -1.        ]",-15.8127551016,-1.04280580938,-64.1819532636,-11.8595663262,-0.934115522665,-112.420837442
35,"[-19.88227547 -11.00793652  -2.18960621  -1.61023554  -1.522855
  -1.52281387  -1.35563198  -1.35563198  -1.11519624  -1.        ]",-15.8125802121,-1.04280193531,-64.1827091725,-11.859435159,-0.934111847772,-112.420893741
36,"[-19.88213283 -11.00791388  -2.18956293  -1.61019022  -1.52281681
  -1.52277586  -1.35563198  -1.35563198  -1.11430937  -1.        ]",-15.8127304517,-1.04280523026,-64.1820490416,-11.8595478388,-0.934114973454,-112.420836758
37,"[-19.8822735  -11.00794453  -2.1896055   -1.6102345   -1.52285431
  -1.52281317  -1.35563198  -1.35563198  -1.113558    -1.        ]",-15.8125764432,-1.04280183287,-64.1827149621,-11.8594323324,-0.93411175059,-112.420887907
38,"[-19.88211434 -11.00791579  -2.18955716  -1.61018406  -1.52281168
  -1.52277077  -1.35563198  -1.35563198  -1.11146245  -1.        ]",-15.8127465809,-1.04280558046,-64.1819715571,-11.8595599356,-0.934115305684,-112.420826361
39,"[-19.882271   -11.00794813  -2.18960449  -1.61023341  -1.52285339
  -1.52281229  -1.35563198  -1.35563198  -1.10980256  -1.        ]",-15.8125760487,-1.04280182402,-64.1827094187,-11.8594320365,-0.934111742008,-112.420884401
