Iteration,orbitalEnergies,exchangePotential,correlationPotential,exchangeEnergy,correlationEnergy,totalEnergy
1,[-0.44196338],-0.867579061082,-0.114470188276,-0.650684295812,-0.100801900842,-1.44095864059
2,[-0.28063989],-0.821059482065,-0.111795648037,-0.615794611549,-0.0982743634197,-1.05026317049
3,[-0.3270798],-0.721646421,-0.106024337625,-0.54123481575,-0.0928113889554,-1.00004347631
4,[-0.39438772],-0.711602624128,-0.10554736767,-0.533701968096,-0.0923516791304,-1.1217957885
5,[-0.40272887],-0.73905059801,-0.107254973946,-0.554287948508,-0.0939676405588,-1.17912887308
6,[-0.38219126],-0.753687262958,-0.108103073176,-0.565265447219,-0.0947723098654,-1.15908690483
7,[-0.37165752],-0.750480629086,-0.107893327555,-0.562860471814,-0.0945745389964,-1.13307114785
8,[-0.37418479],-0.744406254373,-0.107531982492,-0.55830469078,-0.0942322146273,-1.12927359966
9,[-0.37859234],-0.743192273946,-0.10746644206,-0.55739420546,-0.0941697798866,-1.13641254724
10,[-0.37943696],-0.744722737471,-0.107560444463,-0.558542053103,-0.0942587091657,-1.14036942177
11,[-0.37830323],-0.745708033596,-0.107617914567,-0.559281025197,-0.0943132135066,-1.13952152545
12,[-0.3775932],-0.745582063755,-0.10760907832,-0.559186547816,-0.09430490855,-1.13789959953
13,[-0.37769427],-0.745209911351,-0.107586798552,-0.558907433513,-0.0942838061585,-1.13755780818
14,[-0.37796613],-0.745109507631,-0.107581218002,-0.558832130724,-0.0942785000588,-1.13796061837
15,[-0.37803662],-0.74519353137,-0.107586413085,-0.558895148528,-0.0942834125853,-1.13822665125
16,[-0.37797412],-0.745258603142,-0.107590230241,-0.558943952357,-0.0942870317271,-1.13819569286
17,[-0.3779271],-0.745255816586,-0.107589979553,-0.55894186244,-0.0942867983616,-1.13809643668
18,[-0.3779297],-0.745233361459,-0.107588627979,-0.558925021094,-0.0942855183251,-1.13806873516
