Iteration,orbitalEnergies,exchangePotential,correlationPotential,exchangeEnergy,correlationEnergy,totalEnergy
1,[-0.44195456],-0.867576414955,-0.114469923689,-0.650682311216,-0.100801678236,-1.44095321905
2,[-0.28053999],-0.82116675184,-0.111800459879,-0.61587506388,-0.0982788875201,-1.05019859646
3,[-0.31860552],-0.722483076513,-0.106063415402,-0.541862307385,-0.0928485264875,-0.984086322704
4,[-0.38775221],-0.708038186623,-0.105315370224,-0.531028639967,-0.0921322822563,-1.10311752716
5,[-0.40488793],-0.734988016026,-0.10700939322,-0.55124101202,-0.0937348139046,-1.1774759242
6,[-0.38513666],-0.75315981584,-0.108073504416,-0.56486986188,-0.0947441299791,-1.16422229467
7,[-0.37183595],-0.751814004695,-0.107970427295,-0.563860503521,-0.0946475488948,-1.13533198843
8,[-0.37294276],-0.745257413595,-0.107577712284,-0.558943060196,-0.0942756578121,-1.12794577575
9,[-0.37771805],-0.743207239347,-0.107462228222,-0.55740542951,-0.0941659060725,-1.13459985105
10,[-0.37921862],-0.744573284628,-0.107547497904,-0.558429963471,-0.0942465148391,-1.13964422248
11,[-0.37821613],-0.74578632411,-0.107619032316,-0.559339743083,-0.0943143341517,-1.13939740348
12,[-0.37732981],-0.745810502385,-0.107618939637,-0.559357876789,-0.0943143192368,-1.13763909034
13,[-0.37731436],-0.745419245642,-0.107595287759,-0.559064434232,-0.0942919252479,-1.13703307064
14,[-0.37760073],-0.745258828793,-0.107586097642,-0.558944121594,-0.0942831987873,-1.13737702034
15,[-0.3777176],-0.745325445181,-0.107590327,-0.558994083886,-0.09428719375,-1.13771141958
16,[-0.3776686],-0.745404414319,-0.107595011736,-0.559053310739,-0.0942916338761,-1.13772825529
17,[-0.37761089],-0.745413240123,-0.1075954441,-0.559059930092,-0.0942920481862,-1.13762441779
18,[-0.37760455],-0.745390607792,-0.10759406578,-0.559042955844,-0.0942907435662,-1.13757833759
19,[-0.37762113],-0.745378863162,-0.107593385392,-0.559034147371,-0.0942900979201,-1.13759464268
20,[-0.37762969],-0.745381753703,-0.107593575026,-0.559036315278,-0.0942902767708,-1.13761622121
21,[-0.37762756],-0.745386759702,-0.107593873511,-0.559040069777,-0.0942905595499,-1.13761925697
