Iteration,orbitalEnergies,exchangePotential,correlationPotential,bandEnergy,exchangeEnergy,correlationEnergy,totalEnergy
1,[-4.97389452 -1.63472816],-2.33590789824,-0.194580475783,-8.58251720567,-1.75193092368,-0.172776590649,-12.7619640223
2,[-2.56859473 -1.06207011],-1.92151558077,-0.179538908031,-3.1992595762,-1.44113668558,-0.158772027434,-6.57866881207
3,[-2.92800127 -1.10284295],-2.01095393749,-0.181416271763,-3.95884550069,-1.50821545312,-0.16058418828,-7.46962937007
4,[-2.86109184 -1.10314053],-1.98617705511,-0.180473516509,-3.82532422266,-1.48963279133,-0.159712098815,-7.29040858522
5,[-2.88274543 -1.10536253],-1.99118490176,-0.180544953982,-3.8708533836,-1.49338867632,-0.159784381467,-7.34283070981
6,[-2.87921865 -1.10552176],-1.98974230136,-0.180483927951,-3.86395907207,-1.49230672602,-0.159728358361,-7.33322296319
7,[-2.88049811 -1.10567454],-1.98988858195,-0.180482347674,-3.86667075059,-1.49241643646,-0.159727266215,-7.33605750306
8,[-2.88042472 -1.10569841],-1.98991223177,-0.180480286321,-3.86654784725,-1.49243417383,-0.159725519273,-7.3359232263
9,[-2.88042429 -1.10571067],-1.98989378077,-0.180477638378,-3.86655924582,-1.49242033558,-0.159723180498,-7.33586757995
10,[-2.88045235 -1.10572159],-1.98987758121,-0.180475436441,-3.86662628853,-1.49240818591,-0.159721233117,-7.33587717219
11,[-2.88047653 -1.10573066],-1.98986640989,-0.180473685319,-3.86668372668,-1.49239980742,-0.159719687303,-7.3358903068
12,[-2.88049497 -1.10573808],-1.98985764433,-0.180472261611,-3.86672801764,-1.49239323325,-0.159718430992,-7.3358987353
13,[-2.88050986 -1.10574416],-1.98985040196,-0.180471095035,-3.86676386867,-1.49238780147,-0.159717401437,-7.33590506419
14,[-2.88052212 -1.10574913],-1.9898444452,-0.180470139961,-3.86679338067,-1.4923833339,-0.159716558493,-7.33591034573
15,[-2.8805322 -1.1057532],-1.98983957403,-0.180469358755,-3.86681760233,-1.49237968052,-0.159715869027,-7.3359147376
