Iteration,orbitalEnergies,exchangePotential,correlationPotential,exchangeEnergy,correlationEnergy,totalEnergy
1,[-0.5        -0.53235953],-0.290919400819,-0.0780558976265,-0.218189550614,-0.0653787470921,-1.97066301255
2,[-0.56506351 -0.52803656],-0.546915624679,-0.107999159419,-0.410186718509,-0.0925181531861,-2.54174808094
3,[-0.31300974 -0.12344808],-0.694408638709,-0.128714955589,-0.520806479032,-0.110948229358,-1.99404489208
4,[-0.28491502 -0.04972924],-0.839169196318,-0.140046995142,-0.629376897239,-0.121511556474,-2.10522014031
5,[-0.18369335 -0.10305012],-0.833267136235,-0.139214756037,-0.624950352176,-0.120737974569,-1.94898445547
6,[-0.19543571 -0.03634992],-0.833828822124,-0.139172441907,-0.625371616593,-0.120696657893,-1.89541934602
7,[-0.19932653 -0.04111668],-0.772102400189,-0.133235117307,-0.579076800142,-0.115268964621,-1.78693367093
8,[-0.24484862 -0.16756005],-0.765965994794,-0.132861412273,-0.574474496096,-0.114911737512,-1.99207676182
9,[-0.24970571 -0.16428618],-0.81730571082,-0.137622336963,-0.612979283115,-0.119272024446,-2.10323554632
10,[-0.21031081 -0.11631801],-0.831270521614,-0.13847845911,-0.62345289121,-0.120086744209,-1.99943937327
11,[-0.20144701 -0.05492076],-0.854692025788,-0.140741145988,-0.641019019341,-0.122160790791,-1.99435477167
12,[-0.17672939 -0.03047205],-0.853513150348,-0.140635214509,-0.640134862761,-0.122062828045,-1.91743525063
13,[-0.17708615 -0.59271861],-0.807343457299,-0.138752946914,-0.605507592974,-0.12022865795,-2.47424792506
14,[-0.18116572 -0.59863355],-0.79702750618,-0.138049660788,-0.597770629635,-0.119563489771,-2.47066331316
15,[-0.18733622 -1.58908783],-0.992031789573,-0.153201920194,-0.74402384218,-0.13369552504,-3.89173155141
16,[-0.07740227 -1.36537606],-1.0179949504,-0.154784476319,-0.763496212798,-0.135196349671,-3.50194550178
17,[-0.05806991 -2.17756829],-1.17729990296,-0.162285248248,-0.882974927221,-0.142302560476,-4.54744954692
18,[-0.5        -1.67776261],-1.0995221971,-0.155452864534,-0.824641647822,-0.135951499559,-4.75189014754
19,[-0.5        -2.14891032],-1.20519440135,-0.159478063242,-0.903895801016,-0.139735633373,-5.36816707027
20,[-1.04968288 -1.03892245],-1.52354914323,-0.178044145206,-1.14266185742,-0.157160710029,-6.11140292848
21,[-0.76950449 -0.83936749],-1.57970407325,-0.180869485904,-1.18477805493,-0.159805594566,-5.46121244498
22,[-1.59078373 -0.36581083],-1.79832207879,-0.189955710877,-1.34874155909,-0.168347794226,-7.10860756838
23,[-1.40052288 -1.40041426],-1.7820440334,-0.190065317537,-1.33653302505,-0.168452162863,-7.74794723466
24,[-1.78517951 -0.6396386 ],-2.08191342404,-0.199816314408,-1.56143506803,-0.177610159199,-8.3234758176
25,[-1.53093236 -0.27396653],-2.15591319427,-0.203229682429,-1.6169348957,-0.180817421691,-7.6233328234
26,[-1.5522219  -0.77951534],-2.34108670555,-0.208284693793,-1.75581502916,-0.185570693653,-8.51018806826
27,[-1.40283911 -0.37617244],-2.41826928667,-0.211411020138,-1.813701965,-0.188510350165,-7.98778220469
28,[-1.34110675 -0.66210996],-2.46692807427,-0.212523882976,-1.8501960557,-0.189559819361,-8.23388597235
