RefinementParameter,NumberOfCells,NumberOfGridpoints,Orbital0Energy,Orbital1Energy,Orbital2Energy,Orbital3Energy,Orbital4Energy,Orbital5Energy,Orbital6Energy,ExchangePotential,CorrelationPotential,BandEnergy,ExchangeEnergy,CorrelationEnergy,TotalEnergy
400,   2560,  163840, -19.00723831, -10.06265673, -1.20116834, -0.61760047, -0.52530578, -0.52530578, -0.40019738,-15.8118533431,-1.04278848675,-64.6789455863,-11.8588900073,-0.934099104498,-112.85693442
800,   4604,  294656, -18.92354512, -10.02346406, -1.19266108, -0.61220879, -0.5239736,  -0.5239736,  -0.39733261,-15.8119818169,-1.04277730313,-64.3943177184,-11.8589863627,-0.934088741112,-112.609939639
1200,  6732,  430848, -18.88399045, -10.00849099, -1.19037072, -0.61085261, -0.52363958, -0.52363958, -0.39652453,-15.8114677163,-1.04277272591,-64.2750169366,-11.8586007872,-0.934084282560,-112.507021198
2000, 11156,  713984, -18.87330994, -10.00452466, -1.18898416, -0.61003377, -0.52306812, -0.52306812, -0.39618653,-15.8114170202,-1.04277309786,-64.2383505941,-11.8585627652,-0.934084647514,-112.489111795
2500, 13508,  864512, -18.87295454, -10.00420585, -1.18850763, -0.60983563, -0.52286558, -0.52286558, -0.39614046,-15.8113630942,-1.04277228912,-64.2347505151,-11.8585223207,-0.934083754039,-112.487516855 
3000, 16252, 1040128, -18.87343216, -10.00423348, -1.18828058, -0.60966894, -0.52266254, -0.52266254, -0.39604795,-15.8113835673,-1.04277235140,-64.2339763958,-11.8585376755,-0.934083753004,-112.491421648


# Other parameters
# Domain [-20,20]
# Mind depth 3
# Zero gauge shift
# 
