domainSize,maxSideLength,order,numberOfCells,numberOfPoints,gradientFree,divideCriterion,divideParameter1,divideParameter2,divideParameter3,divideParameter4,gaussianAlpha,gaugeShift,finalGItolerance,GreenSingSubtracted,orbitalEnergies,BandEnergy,KineticEnergy,ExchangeEnergy,CorrelationEnergy,HartreeEnergy,TotalEnergy,Treecode,treecodeOrder,theta,maxParNode,batchSize,totalTime,timePerConvolution,totalIterationCount
32,64.0,3,4266.666666666667,115200,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87368807 -0.2072175 ],-8.161811154007975,0.0,-1.5996933158345468,-0.20573894884812635,5.4831187165149275,-13.083957503858093,True,6,0.7,8000,8000,567.6702127456665,3.1710523360000025,103
24,48.0,3,6788.740740740741,183296,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87260906 -0.20735952],-8.15993716034066,0.0,-1.599416882142286,-0.20573266563451872,5.482835872050995,-13.081894088076545,True,6,0.7,8000,8000,313.56015276908875,1.022745686999997,299
24,48.0,4,5593.75,358000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87216097 -0.20746895],-8.159259840854947,0.0,-1.599413337461729,-0.20573700070416195,5.483101486758361,-13.081483723242735,True,6,0.7,8000,8000,267.26237201690674,2.6248434989999794,95
32,64.0,4,3515.625,225000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87245135 -0.20745639],-8.159815480573803,0.0,-1.5996709730441268,-0.20575036601608487,5.483969596115328,-13.082820516932316,True,6,0.7,8000,8000,1017.3135304450989,5.995597779000036,109
24,48.0,5,4948.992,618624,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87207416 -0.20746468],-8.159077679283852,0.0,-1.5993669963691532,-0.2057349384085443,5.482986361727448,-13.081201962339,True,6,0.7,8000,8000,569.3940579891205,5.811919638999939,95
32,64.0,3,12363.851851851852,333824,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87248571 -0.20726645],-8.159504317365274,0.0,-1.5991115001891902,-0.20571176463037305,5.4817063636590095,-13.080435504478961,True,6,0.7,8000,8000,289.2480561733246,2.682444626000006,100
24,48.0,6,4547.925925925926,982352,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87201966 -0.20746283],-8.158964981603697,0.0,-1.5993484064099266,-0.20573422288965687,5.4829391211585605,-13.081048104677816,True,6,0.7,8000,8000,966.3489575386047,9.84653486000002,94
32,64.0,5,3110.4,388800,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87222392 -0.20745452],-8.159356881973686,0.0,-1.599475493666414,-0.20574046022453474,5.483322093165895,-13.08178050459761,True,6,0.7,8000,8000,1471.6860859394073,8.669594924999956,103
32,64.0,4,10187.5,652000,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87209243 -0.20747036],-8.159125579923758,0.0,-1.5992980701922364,-0.2057288209122016,5.482692177793927,-13.08097910166837,True,6,0.7,8000,8000,898.3740060329437,7.676001320999944,112
24,48.0,7,4275.125364431487,1466368,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-3.87200675 -0.20746207],-8.158937640468135,0.0,-1.5993394284422164,-0.20573386161864374,5.482917278920052,-13.081001833105711,True,6,0.7,8000,8000,1805.1525738239288,19.192655814999853,94
