domainSize,maxSideLength,order,numberOfCells,numberOfPoints,gradientFree,divideCriterion,divideParameter1,divideParameter2,divideParameter3,divideParameter4,gaussianAlpha,gaugeShift,finalGItolerance,GreenSingSubtracted,orbitalEnergies,BandEnergy,KineticEnergy,ExchangeEnergy,CorrelationEnergy,HartreeEnergy,TotalEnergy,Treecode,treecodeOrder,theta,maxParNode,batchSize,totalTime,timePerConvolution,totalIterationCount
32,64.0,3,4266.666666666667,115200,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39713925 -0.15215827 -0.15215827 -0.15215827],-1.0985950266619868,0.0,-0.7936237606952936,-0.16399188724371255,2.913114750959803,-3.7217505960433566,True,6,0.7,8000,8000,186.1884503364563,0.5640306379999913,319
24,48.0,3,6788.740740740741,183296,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.3970465  -0.15210183 -0.15210183 -0.15210183],-1.0982966692920155,0.0,-0.7936602161860001,-0.16399777956379938,2.9133327233533963,-3.721657481029095,True,6,0.7,8000,8000,287.7201006412506,1.0276980260000528,283
32,64.0,4,3515.625,225000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39699782 -0.15206089 -0.15206089 -0.15206089],-1.0981174224261918,0.0,-0.7937304434357455,-0.16400348167235335,2.9135598844039006,-3.7216817167863914,True,6,0.7,8000,8000,407.4814727306366,1.3136992599999644,316
32,64.0,3,12363.851851851852,333824,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39705556 -0.15205813 -0.15205813 -0.15205813],-1.0982273852599895,0.0,-0.7935475525829793,-0.16397996871283566,2.9129514547352313,-3.721246519142943,True,6,0.7,8000,8000,831.1844751834869,2.679802726000048,322
24,48.0,4,5593.75,358000,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39696585 -0.15203574 -0.15203574 -0.15203574],-1.0980031940199044,0.0,-0.7937320622225672,-0.16400435269113517,2.9135928435453744,-3.7215997744051625,True,6,0.7,8000,8000,701.370007276535,2.645272570999964,277
32,64.0,5,3110.4,388800,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39695814 -0.15202198 -0.15202198 -0.15202198],-1.0979602410698708,0.0,-0.793741700660231,-0.16400483631657176,2.913623546810221,-3.7215843308361896,True,6,0.7,8000,8000,803.2571082115173,2.6528560680000055,313
24,48.0,5,4948.992,618624,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39694392 -0.15200898 -0.15200898 -0.15200898],-1.0979057831275612,0.0,-0.7937437998829173,-0.16400540396236218,2.9136457762959385,-3.721551326684831,True,6,0.7,8000,8000,1513.550738811493,5.800868657999899,277
32,64.0,6,2858.3333333333335,617400,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39694195 -0.15200561 -0.15200561 -0.15200561],-1.097895132923951,0.0,-0.7937473696175685,-0.16400551379457495,2.9136545625920203,-3.7215482916787086,True,6,0.7,8000,8000,1597.85786652565,5.363662629999908,313
32,64.0,4,10187.5,652000,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39699506 -0.15205315 -0.15205315 -0.15205315],-1.098096425970705,0.0,-0.7936796519739955,-0.1639960288592307,2.913407262885958,-3.721525842580527,True,6,0.7,8000,8000,2387.2017345428467,7.676917332999892,328
24,48.0,6,4547.925925925926,982352,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39693455 -0.15199859 -0.15199859 -0.15199859],-1.0978662736282425,0.0,-0.7937482150377817,-0.16400581517749668,2.9136665786905986,-3.72153112380321,True,6,0.7,8000,8000,2628.0729610919952,9.906998507000026,277
32,64.0,7,2686.8804664723034,921600,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39693459 -0.15199771 -0.15199771 -0.15199771],-1.0978646082750683,0.0,-0.7937500526023246,-0.1640058503560338,2.913670283488591,-3.721532563884199,True,6,0.7,8000,8000,3045.5796797275543,10.514336175000153,313
32,64.0,5,9013.248,1126656,True,coarsenedUniform,0.25,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39695943 -0.15202164 -0.15202164 -0.15202164],-1.097962139385359,0.0,-0.793718116616332,-0.1640014075392529,2.9135555248640963,-3.7215264404628905,True,6,0.7,8000,8000,3407.479917049408,11.181878854999923,322
24,48.0,7,4275.125364431487,1466368,True,coarsenedUniform,0.5,8.0,2.0,0.0,0.5,-0.5,1e-07,1,[-0.39693034 -0.15199349 -0.15199349 -0.15199349],-1.0978476757006794,0.0,-0.7937505321262772,-0.16400602887142576,2.9136778136435355,-3.721522976060365,True,6,0.7,8000,8000,4895.63117647171,19.198343224000382,277
